"operation","parameter","simple","input.size","subset.ratio","overlap.ratio","range.a","range.b","range.mirror","epsilon","extrapolation.range"
"op-reciprocal","zero.range.medium.nmru",FALSE,2,0.5,0,0,0.1,FALSE,1.2629863022084464e-07,"U[0,0.1]"
"op-reciprocal","zero.range.medium.nmru",FALSE,2,0.5,0,0,1,FALSE,1.1924294085474685e-07,"U[0,1]"
"op-sub","extrapolation.range",FALSE,2,0.5,0,-40,-20,FALSE,1e-05,"U[-40,-20]"
"op-sub","extrapolation.range",FALSE,2,0.5,0,-6,-2,FALSE,1e-05,"U[-6,-2]"
"op-sub","extrapolation.range",FALSE,2,0.5,0,-6.1,-1.2,FALSE,1e-05,"U[-6.1,-1.2]"
"op-sub","extrapolation.range",FALSE,2,0.5,0,-2,-0.2,FALSE,1e-05,"U[-2,-0.2]"
"op-sub","extrapolation.range",FALSE,2,0.5,0,2,6,TRUE,1e-05,"U[-6,-2] u U[2,6]"
"op-sub","extrapolation.range",FALSE,2,0.5,0,2,6,TRUE,1e-05,"U[-6,-2] & U[2,6]"
"op-sub","extrapolation.range",FALSE,2,0.5,0,0.2,2,FALSE,1e-05,"U[0.2,2]"
"op-sub","extrapolation.range",FALSE,2,0.5,0,2,6,FALSE,1e-05,"U[2,6]"
"op-sub","extrapolation.range",FALSE,2,0.5,0,1.2,6,FALSE,1e-05,"U[1.2,6]"
"op-sub","extrapolation.range",FALSE,2,0.5,0,20,40,FALSE,1e-05,"U[20,40]"
